,N1,N2,N3,N4,N5,E1,E2,Winner,Winning Serie,Gain
0,3.0,27.0,29.0,4.0,37.0,6.0,5.0,1.0,1.0,10000000.0
1,49.0,22.0,19.0,15.0,46.0,9.0,2.0,1.0,1.0,26215627.0
2,24.0,1.0,34.0,4.0,36.0,8.0,6.0,1.0,1.0,43756502.0
3,9.0,25.0,1.0,40.0,23.0,3.0,9.0,1.0,1.0,25059130.0
4,48.0,20.0,45.0,21.0,12.0,6.0,5.0,1.0,1.0,29785269.0
5,5.0,35.0,44.0,15.0,24.0,6.0,5.0,1.0,1.0,24746858.0
6,28.0,2.0,40.0,23.0,43.0,6.0,2.0,1.0,1.0,12286876.0
7,41.0,42.0,34.0,13.0,9.0,7.0,3.0,1.0,1.0,12488171.0
8,37.0,39.0,29.0,15.0,49.0,4.0,9.0,1.0,1.0,10000000.0
9,32.0,3.0,1.0,39.0,21.0,2.0,6.0,1.0,1.0,33816137.0
10,23.0,19.0,10.0,1.0,4.0,2.0,8.0,1.0,1.0,25556285.0
11,39.0,37.0,4.0,7.0,33.0,5.0,1.0,1.0,1.0,20678070.0
12,32.0,16.0,29.0,41.0,36.0,9.0,7.0,1.0,1.0,15000000.0
13,41.0,16.0,36.0,42.0,15.0,5.0,3.0,1.0,1.0,45117030.0
14,10.0,19.0,11.0,23.0,20.0,6.0,1.0,1.0,1.0,15000000.0
15,26.0,44.0,21.0,13.0,2.0,3.0,9.0,2.0,1.0,15000000.0
16,11.0,50.0,48.0,6.0,47.0,1.0,6.0,4.0,1.0,25066380.0
17,19.0,38.0,12.0,13.0,21.0,3.0,9.0,1.0,1.0,75888514.0
18,50.0,3.0,19.0,49.0,26.0,5.0,4.0,1.0,1.0,115436126.0
19,28.0,6.0,47.0,7.0,13.0,8.0,5.0,1.0,1.0,43020745.0
20,13.0,10.0,24.0,47.0,3.0,9.0,5.0,2.0,1.0,23749558.0
21,31.0,50.0,25.0,11.0,7.0,3.0,1.0,1.0,1.0,64040749.0
22,32.0,46.0,20.0,21.0,26.0,8.0,9.0,1.0,1.0,10000000.0
23,11.0,13.0,25.0,32.0,50.0,7.0,4.0,1.0,1.0,34776948.0
24,11.0,14.0,29.0,6.0,19.0,3.0,1.0,2.0,1.0,26007362.0
25,14.0,9.0,6.0,13.0,35.0,3.0,4.0,0.0,1.0,66983488.0
26,20.0,11.0,43.0,9.0,38.0,2.0,3.0,0.0,1.0,53119776.0
27,35.0,37.0,9.0,42.0,23.0,3.0,7.0,0.0,1.0,39640847.0
